State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total,state_name_raw,state_code,state_canonical,constituency_name,constituency_type,category_clean,total_recomputed,total_missing,total_diff
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Votes Polled For 'Nota'(Including Postal),,,,23250.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Votes Polled For 'Nota'(Including Postal),0.0,False,23250.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Tendered Votes,,,,37.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Votes - Tendered Votes,0.0,False,37.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Number,,,,1886.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Polling Station - Number,0.0,False,1886.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Average Electors Per Polling,,,,844.0,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Polling Station - Average Electors Per Polling,0.0,False,844.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Dates(S) Of Re-Poll If Any,,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Polling Station - Dates(S) Of Re-Poll If Any,0.0,True,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,0.0,True,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Dates - Polling Date - 13/05/2024,,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Dates - Polling Date - 13/05/2024,0.0,True,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Dates - Counting Date - 04/06/2024,,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Dates - Counting Date - 04/06/2024,0.0,True,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,"Dates - Declaration Of
Result Date - 04/06/2024",,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,"Dates - Declaration Of
Result Date - 04/06/2024",0.0,True,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,0.0,True,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,,Andhra Pradesh,S01,Andhra Pradesh,Vizianagaram,GEN,Result - Candidate -Winner: - Gumma Thanuja Rani,0.0,True,
