fiscal_year,state,state_size,gdp_share,unit,notes,election_year_clean,state_raw,state_canonical,gdp_share_pct
1990-91,Uttar Pradesh,Large,12.6,gdp_share in percentage,,1990,Uttar Pradesh,Uttar Pradesh,1260.0
1980-81,Andhra Pradesh,Large,7.0,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,1980,Andhra Pradesh,AP-Telangana Combined,700.0
1980-81,Assam,Large,2.1,gdp_share in percentage,,1980,Assam,Assam,210.0
1980-81,Bihar,Large,6.3,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,1980,Bihar,Bihar-Jharkhand Combined,630.0
1980-81,Chhattisgarh,Large,,gdp_share in percentage,,1980,Chhattisgarh,Chhattisgarh,
1980-81,Delhi,Large,2.3,gdp_share in percentage,,1980,Delhi,Delhi,229.99999999999997
1980-81,Gujarat,Large,6.3,gdp_share in percentage,,1980,Gujarat,Gujarat,630.0
1980-81,Haryana,Large,2.9,gdp_share in percentage,,1980,Haryana,Haryana,290.0
1980-81,Jharkhand,Large,,gdp_share in percentage,,1980,Jharkhand,Jharkhand,
1980-81,Karnataka,Large,5.3,gdp_share in percentage,,1980,Karnataka,Karnataka,530.0
1980-81,Kerala,Large,3.6,gdp_share in percentage,,1980,Kerala,Kerala,360.0
1980-81,Madhya Pradesh,Large,6.6,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,1980,Madhya Pradesh,MP-Chhattisgarh Combined,660.0
1980-81,Maharashtra,Large,14.2,gdp_share in percentage,,1980,Maharashtra,Maharashtra,1420.0
1980-81,Odisha,Large,3.2,gdp_share in percentage,,1980,Odisha,Odisha,320.0
1980-81,Punjab,Large,4.3,gdp_share in percentage,,1980,Punjab,Punjab,430.0
1980-81,Rajasthan,Large,3.9,gdp_share in percentage,,1980,Rajasthan,Rajasthan,390.0
1980-81,Tamil Nadu,Large,6.9,gdp_share in percentage,,1980,Tamil Nadu,Tamil Nadu,690.0
1980-81,Uttar Pradesh,Large,13.2,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,1980,Uttar Pradesh,Uttar Pradesh,1320.0
1980-81,Uttarakhand,Large,,gdp_share in percentage,,1980,Uttarakhand,Uttarakhand,
1980-81,West Bengal,Large,8.8,gdp_share in percentage,,1980,West Bengal,West Bengal,880.0000000000001
1980-81,Andaman and Nicobar Islands,Small,0.05,gdp_share in percentage,,1980,Andaman and Nicobar Islands,Andaman and Nicobar Islands,5.0
1980-81,Arunachal Pradesh,Small,0.1,gdp_share in percentage,,1980,Arunachal Pradesh,Arunachal Pradesh,10.0
1980-81,Chandigarh,Small,,gdp_share in percentage,,1980,Chandigarh,Chandigarh,
1980-81,Goa,Small,0.3,gdp_share in percentage,,1980,Goa,Goa,30.0
1980-81,Himachal Pradesh,Small,0.7,gdp_share in percentage,,1980,Himachal Pradesh,Himachal Pradesh,70.0
1980-81,Jammu and Kashmir,Small,1.0,gdp_share in percentage,,1980,Jammu and Kashmir,Jammu and Kashmir,100.0
1980-81,Manipur,Small,0.2,gdp_share in percentage,,1980,Manipur,Manipur,20.0
1980-81,Meghalaya,Small,0.2,gdp_share in percentage,,1980,Meghalaya,Meghalaya,20.0
1980-81,Mizoram,Small,0.1,gdp_share in percentage,,1980,Mizoram,Mizoram,10.0
1980-81,Nagaland,Small,0.1,gdp_share in percentage,,1980,Nagaland,Nagaland,10.0
1980-81,Puducherry,Small,0.2,gdp_share in percentage,,1980,Puducherry,Puducherry,20.0
