fiscal_year,state,state_size,gdp_share,unit,notes
1970-71,Himachal Pradesh,Small,0.7,gdp_share in percentage,
1970-71,Jammu and Kashmir,Small,0.8,gdp_share in percentage,
1970-71,Manipur,Small,0.1,gdp_share in percentage,
1970-71,Meghalaya,Small,,gdp_share in percentage,
1970-71,Mizoram,Small,,gdp_share in percentage,
1970-71,Nagaland,Small,0.1,gdp_share in percentage,
1970-71,Puducherry,Small,0.1,gdp_share in percentage,
1970-71,Sikkim,Small,,gdp_share in percentage,
1970-71,Tripura,Small,0.2,gdp_share in percentage,
1970-71,Andhra Pradesh,Large,7.7,gdp_share in percentage,
1970-71,Bihar,Large,6.9,gdp_share in percentage,
1970-71,Madhya Pradesh,Large,6.1,gdp_share in percentage,
1970-71,Uttar Pradesh,Large,13.0,gdp_share in percentage,
1960-61,Andhra Pradesh,Large,7.7,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together
1960-61,Assam,Large,2.6,gdp_share in percentage,
1960-61,Bihar,Large,7.8,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together
1960-61,Chhattisgarh,Large,,gdp_share in percentage,
1960-61,Delhi,Large,1.4,gdp_share in percentage,
1960-61,Gujarat,Large,5.8,gdp_share in percentage,
1960-61,Haryana,Large,1.9,gdp_share in percentage,
1960-61,Jharkhand,Large,,gdp_share in percentage,
1960-61,Karnataka,Large,5.4,gdp_share in percentage,
1960-61,Kerala,Large,3.4,gdp_share in percentage,
1960-61,Madhya Pradesh,Large,6.3,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together
1960-61,Maharashtra,Large,12.5,gdp_share in percentage,
1960-61,Odisha,Large,2.9,gdp_share in percentage,
1960-61,Punjab,Large,3.2,gdp_share in percentage,
1960-61,Rajasthan,Large,4.4,gdp_share in percentage,
1960-61,Tamil Nadu,Large,8.7,gdp_share in percentage,
1960-61,Uttar Pradesh,Large,14.4,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
1960-61,Uttarakhand,Large,,gdp_share in percentage,
1960-61,West Bengal,Large,10.5,gdp_share in percentage,
1960-61,Andaman and Nicobar Islands,Small,,gdp_share in percentage,
1960-61,Arunachal Pradesh,Small,,gdp_share in percentage,
1960-61,Chandigarh,Small,,gdp_share in percentage,
1960-61,Goa,Small,,gdp_share in percentage,
1960-61,Himachal Pradesh,Small,,gdp_share in percentage,
1960-61,Jammu and Kashmir,Small,0.7,gdp_share in percentage,
1960-61,Manipur,Small,0.1,gdp_share in percentage,
1960-61,Meghalaya,Small,,gdp_share in percentage,
1960-61,Mizoram,Small,,gdp_share in percentage,
1960-61,Nagaland,Small,,gdp_share in percentage,
1960-61,Puducherry,Small,,gdp_share in percentage,
1960-61,Sikkim,Small,,gdp_share in percentage,
1960-61,Tripura,Small,0.2,gdp_share in percentage,
1960-61,Andhra Pradesh,Large,7.7,gdp_share in percentage,
1960-61,Bihar,Large,7.8,gdp_share in percentage,
1960-61,Madhya Pradesh,Large,6.3,gdp_share in percentage,
1960-61,Uttar Pradesh,Large,14.4,gdp_share in percentage,
